episode,reward,score,max_tile,steps
1,-17.142,584,64,81
1000,-17.904,1176,128,124
2000,-59.836,2768,256,224
3000,9.651,932,128,98
4000,-58.149,2960,256,245
5000,-23.948,1184,128,129
6000,-72.207,2964,256,252
7000,-13.849,1064,128,116
8000,-2.569,1708,128,173
9000,-6.804,764,64,103
10000,-0.61,740,64,97
11000,-58.707,2416,256,205
12000,-58.377,2676,256,230
13000,-59.834,2748,256,236
14000,-23.934,1476,128,148
15000,-17.862,1328,128,136
16000,-5.572,584,64,79
17000,-34.71,1488,128,156
18000,-3.326,1028,64,125
19000,4.25,1232,128,124
20000,-37.799,2140,256,182
21000,-17.406,908,64,112
22000,14.665,1020,128,109
23000,-29.035,2236,128,214
24000,31.001,680,64,90
25000,-44.492,1744,128,176
26000,-45.215,2056,128,192
27000,-26.393,1400,128,143
28000,-38.426,2156,256,183
29000,44.598,1248,64,143
30000,-30.204,1548,128,160
31000,-15.345,2216,128,211
32000,-0.504,2048,128,190
33000,-8.7,1976,128,198
34000,-24.577,1700,128,166
35000,-20.415,1508,128,154
36000,-26.734,1432,128,147
37000,57.521,1264,64,141
38000,-43.205,1784,128,170
39000,-21.808,1180,128,128
40000,-24.307,1632,128,164
41000,-53.853,2756,256,223
42000,-37.207,2640,256,223
43000,-45.138,2012,256,172
44000,-48.908,2288,256,186
45000,-21.919,1112,128,117
46000,-0.194,1632,128,161
47000,-13.438,1384,128,146
48000,-8.579,1652,128,172
49000,16.705,1060,64,129
50000,-10.242,1084,64,129
51000,9.953,936,128,100
52000,-8.502,844,64,102
53000,-12.725,1264,128,137
54000,-4.548,1636,128,165
55000,-22.514,1864,128,186
56000,5.644,1432,128,153
57000,-4.435,1192,128,120
58000,-48.912,3052,256,249
59000,-22.303,1444,128,151
60000,-10.674,1204,64,133
61000,-21.7,1468,128,152
62000,-3.228,1372,128,145
63000,-5.883,1000,64,129
64000,36.442,424,32,68
65000,7.934,1148,64,135
66000,-40.591,1748,128,178
67000,-11.069,1204,64,138
68000,-48.36,2512,256,210
69000,-27.092,1376,128,139
70000,-34.662,1624,128,164
71000,-48.973,2464,256,212
72000,-34.528,1340,128,140
73000,-40.637,2416,256,201
74000,-116.981,4828,512,331
75000,-7.329,740,64,98
76000,-21.102,1544,128,159
77000,-10.671,1200,128,121
78000,-60.437,2732,256,236
79000,-12.334,1708,128,175
80000,-23.239,1776,128,183
81000,-16.589,1392,128,143
82000,1.04,1236,128,138
83000,-0.643,1112,128,120
84000,-33.772,1616,128,162
85000,-63.682,2992,256,248
86000,-55.552,2476,256,215
87000,-24.48,1600,128,167
88000,-37.024,1672,128,167
89000,-36.268,1556,128,163
90000,8.524,1076,128,118
91000,-4.681,872,64,105
92000,15.448,920,64,114
93000,3.892,744,64,98
94000,9.575,1648,128,169
95000,42.365,348,32,61
96000,-40.178,1832,128,184
97000,-3.724,812,64,101
98000,14.078,1292,128,137
99000,-10.659,1284,128,138
100000,-57.333,3076,256,254
101000,-8.285,1568,128,164
102000,-10.984,1276,128,129
103000,-29.647,2184,256,191
104000,-37.162,1424,128,146
105000,-18.031,868,64,108
106000,-46.115,1776,128,184
107000,-56.439,2784,256,230
108000,-37.565,2148,256,182
